City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,thiers,45.8333,3.5,6.07,87,11,1.81,FR,1680548546
178,zaria,11.1113,7.7227,28.02,8,5,4.02,NG,1680548546
179,broken hill,-31.95,141.4333,15.72,33,0,2.99,AU,1680548547
180,kavieng,-2.5744,150.7967,27.71,74,100,2.54,PG,1680548547
181,tateyama,34.9833,139.8667,11.96,54,0,5.1,JP,1680548547
182,khatanga,71.9667,102.5,-23.14,98,100,2.98,RU,1680548547
183,esfarayen,37.0765,57.5101,3.81,59,100,3.36,IR,1680548548
184,petropavlovsk-kamchatskiy,53.0452,158.6483,-0.67,69,0,8.0,RU,1680548548
185,akyab,20.15,92.9,25.04,77,22,2.01,MM,1680548548
186,sioux lookout,50.1001,-91.917,-4.96,58,20,4.12,CA,1680548549
187,honningsvag,70.9821,25.9704,-0.14,69,40,7.2,NO,1680548549
188,saskylakh,71.9167,114.0833,-20.73,97,100,5.01,RU,1680548549
189,jonkoping,57.7814,14.1562,-2.16,74,0,0.0,SE,1680548550
190,panguma,8.1833,-11.1333,22.85,90,99,0.95,SL,1680548550
191,eisenach,50.9833,10.3167,3.39,73,7,2.36,DE,1680548551
192,carutapera,-1.195,-46.02,23.05,97,100,1.53,BR,1680548552
193,bathsheba,13.2167,-59.5167,30.34,58,20,8.23,BB,1680548552
194,islampur,26.2667,88.2,23.05,57,5,3.31,IN,1680548553
195,nadym,65.5333,72.5167,-24.21,97,5,2.53,RU,1680548553
196,ribeira grande,38.5167,-28.7,16.22,67,20,5.66,PT,1680548554
197,mantua,45.1667,10.7833,12.58,55,100,3.58,IT,1680548554
198,shingu,33.7333,135.9833,12.34,85,100,0.85,JP,1680548554
199,guerrero negro,27.9769,-114.0611,16.87,64,93,9.6,MX,1680548555
200,alpiarca,39.2571,-8.5819,17.6,62,100,0.45,PT,1680548555
201,east london,-33.0153,27.9116,19.52,68,0,5.66,ZA,1680548556
202,mehamn,71.0357,27.8492,-1.03,86,40,8.75,NO,1680548557
203,mount gambier,-37.8333,140.7667,10.08,95,100,1.77,AU,1680548557
204,katsuura,35.1333,140.3,10.2,63,0,5.01,JP,1680548557
205,arman,59.7,150.1667,-17.44,86,16,3.22,RU,1680548557
206,black river,18.0264,-77.8487,29.25,62,14,5.63,JM,1680548354
207,kargasok,59.0556,80.8572,0.66,97,100,2.68,RU,1680548558
208,balkhash,46.844,74.9804,2.71,41,0,11.71,KZ,1680548558
209,la ronge,55.1001,-105.2842,-8.88,37,40,3.6,CA,1680548558
210,isangel,-19.55,169.2667,24.06,94,40,0.0,VU,1680548558
211,mookane,-23.688,26.6595,24.32,41,1,1.3,BW,1680548559
212,domoni,-12.2569,44.5319,26.32,85,100,2.56,KM,1680548559
213,panguna,-6.3164,155.4848,20.09,96,57,0.77,PG,1680548559
214,itoman,26.1247,127.6694,20.43,68,75,7.72,JP,1680548559
215,ouadda,8.0777,22.4007,25.93,19,14,1.99,CF,1680548559
216,luderitz,-26.6481,15.1594,17.61,71,0,8.76,NA,1680548560
217,sao filipe,14.8961,-24.4956,24.44,66,0,2.33,CV,1680548560
218,longyearbyen,78.2186,15.6401,-12.09,72,75,9.26,SJ,1680548543
219,lhokseumawe,5.1801,97.1507,25.38,84,99,1.87,ID,1680548487
220,benguela,-12.5763,13.4055,26.8,81,98,0.69,AO,1680548561
221,zabaykalsk,49.6333,117.3167,-6.54,40,0,8.04,RU,1680548561
222,baruun-urt,46.6806,113.2792,-6.72,33,47,2.69,MN,1680548561
223,necochea,-38.5473,-58.7368,22.12,51,1,4.28,AR,1680548415
224,lulea,65.5842,22.1547,-3.96,74,100,4.12,SE,1680548561
225,general roca,-39.0333,-67.5833,25.0,24,0,1.28,AR,1680548562
226,yar-sale,66.8333,70.8333,-22.45,93,8,4.71,RU,1680548562
227,fomboni,-12.28,43.7425,28.59,73,100,3.92,KM,1680548562
228,barra patuca,15.8,-84.2833,29.06,58,5,6.37,HN,1680548562
229,kyra,49.5776,111.9753,-13.74,78,2,1.98,RU,1680548563
230,zyryanka,65.75,150.85,-21.65,93,9,3.64,RU,1680548565
231,mahebourg,-20.4081,57.7,26.25,83,40,3.09,MU,1680548565
232,tamworth,52.634,-1.6959,10.18,67,12,3.35,GB,1680548273
233,zhigansk,66.7697,123.3711,-11.03,96,99,5.26,RU,1680548566
234,erzin,36.9559,36.2,15.63,67,26,2.67,TR,1680548566
235,mackay,-21.15,149.2,23.71,97,58,1.86,AU,1680548536
236,lodja,-3.4833,23.4333,19.4,97,100,1.42,CD,1680548567
237,qujing,25.4833,103.7833,14.54,40,5,8.81,CN,1680548567
238,buluang,13.3068,123.3425,23.14,93,55,1.84,PH,1680548572
239,san jose,37.3394,-121.895,14.09,42,40,8.94,US,1680548397
240,beaverlodge,55.2166,-119.4361,-5.36,65,13,1.45,CA,1680548572
241,velsk,61.0701,42.0983,0.1,97,100,3.22,RU,1680548572
242,watsa,3.0372,29.5355,17.67,95,100,1.59,CD,1680548572
243,pravia,43.4906,-6.1508,10.93,82,20,5.14,ES,1680548573
244,zunyi,27.6867,106.9072,15.7,90,0,1.53,CN,1680548573
245,clyde river,70.4692,-68.5914,-22.87,84,0,3.09,CA,1680548544
246,narsaq,60.9167,-46.05,9.12,86,100,3.51,GL,1680548573
247,macapa,0.0389,-51.0664,28.24,65,100,2.13,BR,1680548463
248,upernavik,72.7868,-56.1549,-23.57,92,80,1.41,GL,1680548575
249,chazuta,-6.5742,-76.1367,23.47,93,87,0.91,PE,1680548575
250,elayirampannai,9.2667,77.8333,28.39,67,42,2.27,IN,1680548575
251,quatre cocos,-20.2078,57.7625,26.16,80,100,4.07,MU,1680548576
252,yulara,-25.2406,130.9889,22.54,40,99,3.61,AU,1680548578
253,namtsy,62.7161,129.6658,-12.12,96,100,2.11,RU,1680548578
254,severo-kurilsk,50.6789,156.125,-0.09,94,69,5.73,RU,1680548388
255,great falls,47.5002,-111.3008,2.45,60,75,3.6,US,1680548579
256,novobirilyussy,56.9514,90.6661,-1.69,92,100,4.81,RU,1680548580
257,codrington,-38.2667,141.9667,10.68,91,60,1.97,AU,1680548580
258,malanje,-9.5402,16.341,18.33,97,91,0.89,AO,1680548580
259,pisco,-13.7,-76.2167,27.03,74,0,6.69,PE,1680548559
260,klaksvik,62.2266,-6.589,8.51,89,100,9.61,FO,1680548424
261,ust-kuyga,70.0167,135.6,-19.58,100,100,2.07,RU,1680548581
262,urusha,54.05,122.9,-14.32,93,40,2.62,RU,1680548581
263,yenagoa,4.9247,6.2642,25.23,89,100,2.99,NG,1680548582
264,iracoubo,5.4802,-53.2011,27.53,65,43,4.5,GF,1680548582
265,juruti,-2.1522,-56.0922,28.75,71,53,2.16,BR,1680548583
266,komsomolskiy,40.4272,71.7189,16.4,55,75,4.12,UZ,1680548583
267,bambous virieux,-20.3428,57.7575,26.23,83,40,3.09,MU,1680548400
268,lehigh acres,26.6254,-81.6248,33.89,54,0,5.66,US,1680548584
269,villarrica,-25.75,-56.4333,36.42,24,59,1.82,PY,1680548544
270,kodiak,57.79,-152.4072,0.73,93,100,3.09,US,1680548584
271,marawi,7.9986,124.2928,19.66,96,30,0.49,PH,1680548584
272,pierre,44.3683,-100.351,4.92,62,100,2.68,US,1680548584
273,faya,18.3851,42.4509,17.06,59,5,1.75,SA,1680548585
274,ilulissat,69.2167,-51.1,-7.99,67,40,8.23,GL,1680548585
275,tutoia,-2.7619,-42.2744,26.77,82,60,2.77,BR,1680548585
276,hovd,48.0056,91.6419,-8.74,20,7,2.34,MN,1680548586
277,seydi,39.4816,62.9137,13.07,53,32,1.31,TM,1680548586
278,saint george,37.1041,-113.5841,16.64,30,100,12.86,US,1680548324
279,verkhoyansk,67.5447,133.385,-21.57,94,11,0.5,RU,1680548586
280,maragogi,-9.0122,-35.2225,27.67,68,79,4.49,BR,1680548587
281,dalnegorsk,44.5604,135.5701,10.87,56,100,3.18,RU,1680548587
282,hassleholm,56.1591,13.7664,1.25,66,36,0.9,SE,1680548587
283,hortobagy,47.5828,21.1511,2.11,66,6,10.19,HU,1680548588
284,prince rupert,54.3161,-130.3201,5.05,82,100,4.63,CA,1680548442
285,moree,-29.4667,149.85,17.2,74,1,3.67,AU,1680548589
286,manjeshwar,12.7194,74.8861,25.53,76,5,2.31,IN,1680548589
287,acarau,-2.8856,-40.12,27.39,75,65,2.73,BR,1680548589
288,maldonado,-34.6667,-54.9167,20.08,72,100,0.84,UY,1680548590
289,zatoka,46.0725,30.4654,8.99,81,100,3.83,UA,1680548590
290,port blair,11.6667,92.75,27.02,78,20,1.03,IN,1680548590
291,comodoro rivadavia,-45.8667,-67.5,20.92,26,0,8.75,AR,1680548536
292,saint-augustin,51.226,-58.6502,2.23,65,33,6.16,CA,1680548590
293,waingapu,-9.6567,120.2641,24.99,86,100,0.88,ID,1680548591
294,pacific grove,36.6177,-121.9166,13.9,59,0,8.75,US,1680548296
295,grafenhainichen,51.7333,12.45,3.49,62,27,0.45,DE,1680548591
296,monrovia,6.3005,-10.7969,29.87,81,10,2.34,LR,1680548592
297,nome,64.5011,-165.4064,-13.24,86,100,1.27,US,1680548534
298,nelson bay,-32.7167,152.15,18.89,97,100,4.02,AU,1680548592
299,dudinka,69.4058,86.1778,-33.98,100,39,2.07,RU,1680548593
300,paita,-5.0892,-81.1144,28.59,70,73,4.1,PE,1680548593
301,helong,42.5397,128.9972,11.07,45,100,1.0,CN,1680548594
302,beyneu,45.3167,55.2,11.0,63,88,2.29,KZ,1680548594
303,dalvik,65.9702,-18.5286,7.96,99,100,4.09,IS,1680548594
304,portland,45.5234,-122.6762,8.24,82,75,2.68,US,1680548443
305,westlock,54.1502,-113.8688,-1.43,86,39,0.76,CA,1680548440
306,tonj,7.2737,28.6822,30.59,13,3,1.25,SS,1680548595
307,fortuna,40.5982,-124.1573,7.42,83,77,0.45,US,1680548596
308,aitape,-3.1374,142.3475,25.68,82,100,1.65,PG,1680548596
309,isla vista,34.4133,-119.861,16.57,31,0,7.2,US,1680548597
310,husavik,66.0449,-17.3389,4.05,87,100,9.09,IS,1680548455
311,ixtapa,20.7,-105.2,33.16,26,100,4.13,MX,1680548599
312,kawalu,-7.3817,108.2082,22.34,94,100,0.63,ID,1680548600
313,turukhansk,65.8167,87.9833,-20.86,95,98,6.41,RU,1680548601
314,batagay-alyta,67.8006,130.4114,-21.3,88,10,3.0,RU,1680548601
315,bronnoysund,65.4625,12.1997,4.0,87,75,4.12,NO,1680548603
316,sayyan,15.1718,44.3244,14.63,72,31,2.09,YE,1680548604
317,ahipara,-35.1667,173.1667,16.63,65,58,4.85,NZ,1680548605
318,kapoeta,4.7717,33.5903,28.33,45,100,6.47,SS,1680548605
319,maramba,-5.05,38.6167,19.11,93,68,1.08,TZ,1680548605
320,viedma,-40.8135,-62.9967,23.23,31,0,4.36,AR,1680548606
321,shebekino,50.4097,36.9136,7.68,97,100,2.32,RU,1680548607
322,san antonio,29.4241,-98.4936,32.77,58,0,5.14,US,1680548607
323,melito di porto salvo,37.9222,15.7714,14.85,82,100,9.77,IT,1680548608
324,den helder,52.9599,4.7593,6.68,63,100,9.39,NL,1680548608
325,tocopilla,-22.092,-70.1979,21.98,81,2,3.27,CL,1680548519
326,ossora,59.2353,163.0719,-9.38,96,90,2.3,RU,1680548608
327,vao,-22.6667,167.4833,25.43,82,45,4.94,NC,1680548609
328,te anau,-45.4167,167.7167,8.46,93,18,0.13,NZ,1680548610
329,namatanai,-3.6667,152.4333,25.99,81,97,1.66,PG,1680548610
330,senanga,-16.1167,23.2667,22.55,56,100,2.32,ZM,1680548611
331,astana,51.1801,71.446,-2.03,69,0,5.0,KZ,1680548611
332,maceio,-9.6658,-35.7353,30.69,62,40,5.66,BR,1680548578
333,utrecht,52.0,5.25,7.77,59,11,3.4,NL,1680548510
334,tobermory,45.2501,-81.6665,3.18,82,100,7.37,CA,1680548612
335,gambela,8.25,34.5833,30.13,21,61,1.35,ET,1680548613
336,riverton,40.5219,-111.9391,3.76,88,100,4.63,US,1680548597
337,sorland,67.667,12.6934,2.92,75,76,7.27,NO,1680548613
338,sola,-13.8833,167.55,24.37,94,20,0.0,VU,1680548495
339,eten,-6.9081,-79.8642,30.14,70,75,3.6,PE,1680548614
340,hearst,49.6835,-83.6665,-7.86,88,100,4.81,CA,1680548412
341,acapulco,16.8634,-99.8901,32.85,36,71,4.5,MX,1680548448
342,maneadero,31.7167,-116.5667,14.5,68,100,2.68,MX,1680548442
343,kandi,11.1342,2.9386,32.86,9,11,2.23,BJ,1680548615
344,takoradi,4.8845,-1.7554,27.6,78,93,4.33,GH,1680548615
345,beringovskiy,63.05,179.3167,-14.93,94,97,5.68,RU,1680548615
346,sarakhs,36.5449,61.1577,14.12,49,53,7.74,IR,1680548534
347,honiara,-9.4333,159.95,25.27,88,99,2.54,SB,1680548616
348,adre,13.4667,22.2,28.85,13,98,3.39,TD,1680548616
349,hamilton,39.1834,-84.5333,20.43,64,100,1.79,US,1680548440
